EUR04 98 700 0 1.12 8.26 ERT		// mass of ABS and of comustion chamber
  0.0        12.8606
  0.04       92.8602
  0.06       229.123
  0.08       502.259
  0.16       2243.2
  0.2        2643.46
  0.24       2727.79
  0.32       2701.41
  0.34       2640.63
  0.4        2685.82
  0.6        2390.29
  0.9        2145.0
  1.08       2204.47
  1.78       1958.177
  1.9        2008.5
  2.24       1981.658
  2.6        2131.95
  2.74       2078.77
  2.82       1844.266
  3.1        1739.478
  3.16       1787.925
  3.3        1722.436
  3.36       1769.498
  3.62       1654.957
  3.84       1832.984
  3.94       1737.334
  4.18       1856.036
  4.3        1792.044
  4.4        1851.132
  4.72       1842.221
  4.84       1733.888
  5.02       1735.675
  5.14       1537.098
  5.3        1514.651
  5.34       1454.788
  5.52       1499.781
  5.7        1432.845
  5.78       1488.707
  5.8        1423.791
  5.86       1498.359
  5.92       1441.525
  6.2        1522.61
  6.36       1436.629
  6.48       996.942
  6.58       808.453
  6.72       643.931
  6.92       517.581
  7.94       290.894
  9.62       135.3425
  10.34      53.2474
  12.3       0.0
